14.01.2020 18:20:11:815		Wait connection started , pupils - 1
14.01.2020 18:20:11:818		Listen data is start
14.01.2020 18:20:23:679		Send OK to try-connection request
14.01.2020 18:20:35:405		22
14.01.2020 18:20:35:406		25
14.01.2020 18:20:35:406		21
14.01.2020 18:20:35:407		29
14.01.2020 18:20:35:407		47
14.01.2020 18:20:35:408		59
14.01.2020 18:20:35:408		37
14.01.2020 18:20:35:408		23
14.01.2020 18:20:35:409		45
14.01.2020 18:20:35:409		9
14.01.2020 18:20:35:410		0
14.01.2020 18:20:35:410		32
14.01.2020 18:20:35:410		23
14.01.2020 18:20:35:411		9
14.01.2020 18:20:35:411		47
14.01.2020 18:20:35:412		38
14.01.2020 18:20:35:412		22
14.01.2020 18:20:35:412		23
14.01.2020 18:20:35:413		3
14.01.2020 18:20:35:413		19
14.01.2020 18:20:35:413		5
14.01.2020 18:20:35:414		29
14.01.2020 18:20:35:414		52
14.01.2020 18:20:35:414		60
14.01.2020 18:20:35:415		20
14.01.2020 18:20:35:415		26
14.01.2020 18:20:35:416		1
14.01.2020 18:20:35:416		58
14.01.2020 18:20:35:416		44
14.01.2020 18:20:35:417		44
14.01.2020 18:20:35:417		12
14.01.2020 18:20:35:417		0
14.01.2020 18:20:35:418		33
14.01.2020 18:20:35:418		62
14.01.2020 18:20:35:418		3
14.01.2020 18:20:35:419		24
14.01.2020 18:20:35:419		44
14.01.2020 18:20:35:420		43
14.01.2020 18:20:35:420		14
14.01.2020 18:20:35:420		3
14.01.2020 18:20:35:421		20
14.01.2020 18:20:35:421		30
14.01.2020 18:20:35:421		47
14.01.2020 18:20:35:422		11
14.01.2020 18:20:35:422		44
14.01.2020 18:20:35:422		32
14.01.2020 18:20:35:423		36
14.01.2020 18:20:35:423		8
14.01.2020 18:20:35:423		45
14.01.2020 18:20:35:424		8
14.01.2020 18:20:35:424		26
14.01.2020 18:20:35:424		39
14.01.2020 18:20:35:425		29
14.01.2020 18:20:35:425		2
14.01.2020 18:20:35:426		25
14.01.2020 18:20:35:426		56
14.01.2020 18:20:35:426		37
14.01.2020 18:20:35:427		24
14.01.2020 18:20:35:427		8
14.01.2020 18:20:35:428		20
14.01.2020 18:20:35:428		58
14.01.2020 18:20:35:428		42
14.01.2020 18:20:35:429		42
14.01.2020 18:20:35:429		0
14.01.2020 18:20:35:429		61
14.01.2020 18:20:35:430		0
14.01.2020 18:20:35:430		63
14.01.2020 18:20:35:431		25
14.01.2020 18:20:35:431		6
14.01.2020 18:20:35:431		22
14.01.2020 18:20:35:432		58
14.01.2020 18:20:35:432		42
14.01.2020 18:20:35:434		9
14.01.2020 18:20:35:434		0
14.01.2020 18:20:35:435		62
14.01.2020 18:20:35:435		38
14.01.2020 18:20:35:436		46
14.01.2020 18:20:35:436		40
14.01.2020 18:20:35:436		15
14.01.2020 18:20:35:437		52
14.01.2020 18:20:35:437		54
14.01.2020 18:20:35:437		56
14.01.2020 18:20:35:438		13
14.01.2020 18:20:35:438		35
14.01.2020 18:20:35:438		18
14.01.2020 18:20:35:439		37
14.01.2020 18:20:35:439		34
14.01.2020 18:20:35:440		31
14.01.2020 18:20:35:440		36
14.01.2020 18:20:35:440		11
14.01.2020 18:20:35:441		51
14.01.2020 18:20:35:442		20
14.01.2020 18:20:35:442		34
14.01.2020 18:20:35:442		57
14.01.2020 18:20:35:443		9
14.01.2020 18:20:35:443		41
14.01.2020 18:20:35:443		52
14.01.2020 18:20:35:444		46
14.01.2020 18:20:35:444		14
14.01.2020 18:20:35:444		44
14.01.2020 18:20:35:445		32
14.01.2020 18:20:35:445		11
14.01.2020 18:20:35:446		2
14.01.2020 18:20:35:446		22
14.01.2020 18:20:35:446		14
14.01.2020 18:20:35:447		47
14.01.2020 18:20:35:447		30
14.01.2020 18:20:35:447		29
14.01.2020 18:20:35:448		3
14.01.2020 18:20:35:448		51
14.01.2020 18:20:35:448		9
14.01.2020 18:20:35:449		61
14.01.2020 18:20:35:449		8
14.01.2020 18:20:35:450		20
14.01.2020 18:20:35:450		30
14.01.2020 18:20:35:450		1
14.01.2020 18:20:35:451		29
14.01.2020 18:20:35:451		6
14.01.2020 18:20:35:451		46
14.01.2020 18:20:35:452		23
14.01.2020 18:20:35:452		29
14.01.2020 18:20:35:452		32
14.01.2020 18:20:35:453		53
14.01.2020 18:20:35:453		58
14.01.2020 18:20:35:454		35
14.01.2020 18:20:35:454		38
14.01.2020 18:20:35:454		8
14.01.2020 18:20:35:455		15
14.01.2020 18:20:35:455		55
14.01.2020 18:20:35:455		20
14.01.2020 18:20:35:456		50
14.01.2020 18:20:35:456		0
14.01.2020 18:20:35:456		26
14.01.2020 18:20:35:457		35
14.01.2020 18:20:35:457		20
14.01.2020 18:20:35:458		42
14.01.2020 18:20:35:458		54
14.01.2020 18:20:35:458		54
14.01.2020 18:20:35:459		21
14.01.2020 18:20:35:459		34
14.01.2020 18:20:35:459		7
14.01.2020 18:20:35:460		5
14.01.2020 18:20:35:460		27
14.01.2020 18:20:35:461		49
14.01.2020 18:20:35:461		2
14.01.2020 18:20:35:461		54
14.01.2020 18:20:35:462		11
14.01.2020 18:20:35:462		14
14.01.2020 18:20:35:462		26
14.01.2020 18:20:35:463		7
14.01.2020 18:20:35:463		12
14.01.2020 18:20:35:463		45
14.01.2020 18:20:35:464		0
14.01.2020 18:20:35:464		54
14.01.2020 18:20:35:464		14
14.01.2020 18:20:35:465		0
14.01.2020 18:20:35:465		22
14.01.2020 18:20:35:465		7
14.01.2020 18:20:35:466		51
14.01.2020 18:20:35:466		40
14.01.2020 18:20:35:467		39
14.01.2020 18:20:35:467		14
14.01.2020 18:20:35:467		38
14.01.2020 18:20:35:468		47
14.01.2020 18:20:35:468		0
14.01.2020 18:20:35:468		9
14.01.2020 18:20:35:469		34
14.01.2020 18:20:35:469		37
14.01.2020 18:20:35:469		63
14.01.2020 18:20:35:470		51
14.01.2020 18:20:35:470		10
14.01.2020 18:20:35:470		39
14.01.2020 18:20:35:471		49
14.01.2020 18:20:35:471		11
14.01.2020 18:20:35:472		16
14.01.2020 18:20:35:472		24
14.01.2020 18:20:35:472		5
14.01.2020 18:20:35:473		3
14.01.2020 18:20:35:473		56
14.01.2020 18:20:35:474		45
14.01.2020 18:20:35:474		27
14.01.2020 18:20:35:474		58
14.01.2020 18:20:35:475		52
