07.02.2021 14:41:00:583		List of lesson is rewrited
07.02.2021 14:41:00:584		Proggram load sucseed number of lesson - 2
07.02.2021 14:41:02:400		Network setting is opened
07.02.2021 14:41:03:545		Try to get IP: 1 of 10
07.02.2021 14:41:04:74		IP was get
07.02.2021 14:41:04:420		Connection-try start
07.02.2021 14:41:04:421		Connection try: 1 of 10
07.02.2021 14:41:04:442		Connected sucsseed by address: 192.168.0.9
07.02.2021 14:41:04:825		Network setting is closed
07.02.2021 14:41:06:359		Registration is began
07.02.2021 14:41:06:378		Test ClassLibrary2.Lesson is started
07.02.2021 14:41:10:673		Next clicked
07.02.2021 14:41:10:690		Registration is done
07.02.2021 14:41:11:520		Next clicked
07.02.2021 14:41:11:840		Next clicked
07.02.2021 14:41:11:841		Added to pupil list:no
07.02.2021 14:41:12:340		Next clicked
07.02.2021 14:41:12:340		Added to pupil list:no
07.02.2021 14:41:12:371		Next clicked
07.02.2021 14:41:12:372		Added to pupil list:no
07.02.2021 14:41:12:401		Next clicked
07.02.2021 14:41:12:401		Added to pupil list:no
07.02.2021 14:41:12:435		Next clicked
07.02.2021 14:41:12:436		Added to pupil list:no
07.02.2021 14:41:12:467		Next clicked
07.02.2021 14:41:12:467		Added to pupil list:no
07.02.2021 14:41:12:499		Next clicked
07.02.2021 14:41:12:499		Added to pupil list:no
07.02.2021 14:41:12:534		Next clicked
07.02.2021 14:41:12:534		Added to pupil list:no
07.02.2021 14:41:12:565		Next clicked
07.02.2021 14:41:12:566		Added to pupil list:no
07.02.2021 14:41:12:596		Next clicked
07.02.2021 14:41:12:597		Added to pupil list:no
07.02.2021 14:41:12:630		Next clicked
07.02.2021 14:41:12:630		Added to pupil list:no
07.02.2021 14:41:12:661		Next clicked
07.02.2021 14:41:12:662		Added to pupil list:no
07.02.2021 14:41:12:692		Next clicked
07.02.2021 14:41:12:692		Added to pupil list:no
07.02.2021 14:41:12:723		Next clicked
07.02.2021 14:41:12:724		Added to pupil list:no
07.02.2021 14:41:12:755		Next clicked
07.02.2021 14:41:12:756		Added to pupil list:no
07.02.2021 14:41:12:785		Next clicked
